"";"input_id";"options";"dependence_value";"dependence";"required";"question";"input_type";"pages";"category";"property"
"1";"Z01";"I regularly design learning materials;I occasionally design learning materials;I regularly give trainings;I occasionally give trainings;None of the above";NA;NA;FALSE;"Which of the following most accurately defines your current experience in developing learning/training materials?";"mc";"About you";"About you";"About you"
"2";"Z02";"Not familiar at all;Not very familiar;Somewhat familiar;Familiar;Very familiar";NA;NA;FALSE;"How familiar are you with the implementation of Quality Assurance processes in learning materials?";"textSlider";"About you";"About you";"About you"
"3";"Z03";"Not familiar at all;Not very familiar;Somewhat familiar;Familiar;Very familiar";NA;NA;FALSE;"How familiar are you with the implementation of FAIR data principles in learning materials?";"textSlider";"About you";"About you";"About you"
"4";"Z04";"Not familiar at all;Not very familiar;Somewhat familiar;Familiar;Very familiar";NA;NA;FALSE;"How familiar are you with the implementation of Minimum Viable Skillsets in learning materials?";"textSlider";"About you";"About you";"About you"
"5";"Z05";"Not familiar at all;Not very familiar;Somewhat familiar;Familiar;Very familiar";NA;NA;FALSE;"How familiar are you with the implementation of  Ethical, Legal, and Social Issues (ELSI) aspects in learning materials?";"textSlider";"About you";"About you";"About you"
"6";"Z06";"No;Yes";NA;NA;FALSE;"Have you assessed any learning materials using the S4E Quality Compass app?";"select";"Quality Assurance Framework";"Quality Assurance Framework";"Quality Assurance Framework"
"7";"Z07";"Very dissatisfied;Moderately dissatisfied;Neither satisfied nor dissatisfied;Moderately satisfied;Very satisfied";"Yes";"Z06";FALSE;"How was your experience applying it?";"textSlider";"Quality Assurance Framework";"Quality Assurance Framework";"Quality Assurance Framework"
"8";"Z08";"No;Yes";NA;NA;FALSE;"Have you tried using the checklist as a quick glance shortcut to make sure the learning materials you are developing are complaint with the Skills4EOSC Quality Assurance Framework?";"select";"Quality Assurance Framework";"Quality Assurance Framework";"Quality Assurance Framework"
"9";"Z09";"Very dissatisfied;Moderately dissatisfied;Neither satisfied nor dissatisfied;Moderately satisfied;Very satisfied";"Yes";"Z08";FALSE;"How was your experience applying it?";"textSlider";"Quality Assurance Framework";"Quality Assurance Framework";"Quality Assurance Framework"
"10";"Z10";"Very unlikely;Unlikely;Neutral;Likely;Very likely";NA;NA;FALSE;"How likely is it that you will recommend the use of the Quality Assurance Framework for developing learning materials?";"textSlider";"Quality Assurance Framework";"Quality Assurance Framework";"Quality Assurance Framework"
"11";"Z11";"Strongly disagree;Disagree;Neither agree nor disagree;Agree;Strongly agree";NA;NA;FALSE;"Are you going to try to use the Skills4EOSC Quality Assurance Framework next time you need to assess the quality of your learning materials?";"textSlider";"Quality Assurance Framework";"Quality Assurance Framework";"Quality Assurance Framework"
"12";"Z12";NA;NA;NA;FALSE;"Please, use this space to provide your comments or feedback that you may have about any aspect of the Skills4EOSC Quality Assurance Framework or its related tools:";"text";"Help us";"Help us";"Help us"
