input_id;dependence_value;dependence;required;question;input_type;option;section;category;property
P01;;;0;Are you involved in any way with the Skills4EOSC project?;select;Select your involvement;0. Background information;About you;About you
P01;;;0;Are you involved in any way with the Skills4EOSC project?;select;Yes, I am a partner of the project;0. Background information;About you;About you
P01;;;0;Are you involved in any way with the Skills4EOSC project?;select;Yes, I work in one of the Competence Centers from the project;0. Background information;About you;About you
P01;;;0;Are you involved in any way with the Skills4EOSC project?;select;Yes, I am part of the EOSC Consortium;0. Background information;About you;About you
P01;;;0;Are you involved in any way with the Skills4EOSC project?;select;No;0. Background information;About you;About you
P02;;;0;Please, provide your course title:;text;"Example: ""TtT 2.1: Shaping Open Science Champions: a train-the-trainers course for educators of Phd candidate""";0. Background information;About you;About you
P03;;;0;Your current role:;select;Select your role;0. Background information;About you;About you
P03;;;0;Your current role:;select;High education teacher;0. Background information;About you;About you
P03;;;0;Your current role:;select;Researcher;0. Background information;About you;About you
P03;;;0;Your current role:;select;Data Steward;0. Background information;About you;About you
P03;;;0;Your current role:;select;Librarian;0. Background information;About you;About you
P03;;;0;Your current role:;select;Policymaker;0. Background information;About you;About you
P03;;;0;Your current role:;select;Civil Servant;0. Background information;About you;About you
P03;;;0;Your current role:;select;Legal Expert;0. Background information;About you;About you
P03;;;0;Your current role:;select;Other;0. Background information;About you;About you
P04;Other;P03;0;Your current role:;text;Please, specify your current role;0. Background information;About you;About you
P05;;;0;Your institution:;select;Select your institution;0. Background information;About you;About you
P05;;;0;Your institution:;select;Other;0. Background information;About you;About you
P05;;;0;Your institution:;select;Consortium GARR (GARR);0. Background information;About you;About you
P05;;;0;Your institution:;select;Consiglio Nazionale delle Ricerche (CNR);0. Background information;About you;About you
P05;;;0;Your institution:;select;Istituto Nazionale di Fisica Nucleare (INFN);0. Background information;About you;About you
P05;;;0;Your institution:;select;Università degli Studi di Torino (UNITO);0. Background information;About you;About you
P05;;;0;Your institution:;select;Politecnico di Torino (POLITO);0. Background information;About you;About you
P05;;;0;Your institution:;select;Fondazione Istituto Italiano di Tecnologia (IIT);0. Background information;About you;About you
P05;;;0;Your institution:;select;Università degli Studi di Milano-Bicocca (UNIMIB);0. Background information;About you;About you
P05;;;0;Your institution:;select;Università degli Studi di Trento (UNITN);0. Background information;About you;About you
P05;;;0;Your institution:;select;Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici (CMCC);0. Background information;About you;About you
P05;;;0;Your institution:;select;Technische Universiteit Delft (TU-Delft);0. Background information;About you;About you
P05;;;0;Your institution:;select;Centre National de la Recherche Scientifique CNRS (CNRS);0. Background information;About you;About you
P05;;;0;Your institution:;select;CSC-Tieteen Tietotekniikan Keskus Oy (CSC-IT) Finland;0. Background information;About you;About you
P05;;;0;Your institution:;select;Danmarks Tekniske Universitet (DTU);0. Background information;About you;About you
P05;;;0;Your institution:;select;Copenhagen Business School (CBS);0. Background information;About you;About you
P05;;;0;Your institution:;select;Aalborg Universitet (AAU);0. Background information;About you;About you
P05;;;0;Your institution:;select;Det Kongelige Bibliotek Nationalbibliotek,Nationalbibliotek og Kobenhavns Universitetbibliotek (DKB);0. Background information;About you;About you
P05;;;0;Your institution:;select;Syddansk Universitet (SDU);0. Background information;About you;About you
P05;;;0;Your institution:;select;Aarhus Universitet (AU);0. Background information;About you;About you
P05;;;0;Your institution:;select;European Plate Observing System - European Research Infrastructure Consortium (EPOS);0. Background information;About you;About you
P05;;;0;Your institution:;select;Istututo Nazionale di Geofisica e Vulcanologia (INGV);0. Background information;About you;About you
P05;;;0;Your institution:;select;Universitet I Bergen (UiB);0. Background information;About you;About you
P05;;;0;Your institution:;select;National Infrastructures for Research and Technology (GRNET);0. Background information;About you;About you
P05;;;0;Your institution:;select;Institute of Information and Communication Technologies (IICT);0. Background information;About you;About you
P05;;;0;Your institution:;select;Institut Za Fiziku (IPB);0. Background information;About you;About you
P05;;;0;Your institution:;select;Ss. Cyril and Methodius University in Skopje (UKIM);0. Background information;About you;About you
P05;;;0;Your institution:;select;ETaireia Eleytheroy Logismikoy AnoiktoyKodika (GFOSS);0. Background information;About you;About you
P05;;;0;Your institution:;select;Karslsruher Institut fuer Technologie (KIT);0. Background information;About you;About you
P05;;;0;Your institution:;select;Katholeike Universiteit Leuven (KUL);0. Background information;About you;About you
P05;;;0;Your institution:;select;Naturhistorisches Museum Wien (NHMW);0. Background information;About you;About you
P05;;;0;Your institution:;select;Open Access in the European Area through Scholarly Communication (OPERAS);0. Background information;About you;About you
P05;;;0;Your institution:;select;Instytut Chemii Bioorganicznej Polskiej Akademii Nauk (PSNC);0. Background information;About you;About you
P05;;;0;Your institution:;select;Tampereen Korkeakoulusaatio Sr (TAU) Finland;0. Background information;About you;About you
P05;;;0;Your institution:;select;Technische Universitaet Wien (TU-Wien);0. Background information;About you;About you
P05;;;0;Your institution:;select;The University Of Edinburgh (UEDIN);0. Background information;About you;About you
P05;;;0;Your institution:;select;Goeteborgs Universitet (UGOT);0. Background information;About you;About you
P05;;;0;Your institution:;select;Chalmers Tekniska Hoegskola Ab (Chalmers);0. Background information;About you;About you
P05;;;0;Your institution:;select;Karolinska Institutet (KI);0. Background information;About you;About you
P05;;;0;Your institution:;select;Umea Universitet (UMU);0. Background information;About you;About you
P05;;;0;Your institution:;select;Tartu Ulikool (UT);0. Background information;About you;About you
P05;;;0;Your institution:;select;Tallinna Tehnikaulikool (TalTech);0. Background information;About you;About you
P05;;;0;Your institution:;select;Universite D'Aix Marseille (AMU);0. Background information;About you;About you
P05;;;0;Your institution:;select;Universidad Carlos III de Madrid (UC3M);0. Background information;About you;About you
P05;;;0;Your institution:;select;Norwegian Directorate For Higher Education And Skills (HK-Dir);0. Background information;About you;About you
P05;;;0;Your institution:;select;Uninett Sigma2 As (SIGMA2);0. Background information;About you;About you
