"";"input_id";"dependence";"dependence_value";"question";"subframework";"property";"category";"pages";"minimal_detailed";"bestpractices";"notes";"keywords";"options";"input_type";"required"
"1";"P01";NA;NA;"Are you involved in any way with the Skills4EOSC project?";NA;"About you";"About you";"0. Background information";NA;NA;NA;NA;"Select your involvement;Yes, I am a partner of the project;Yes, I work in one of the Competence Centers from the project;Yes, I am part of the EOSC Consortium;No";"select";FALSE
"2";"P02";NA;NA;"Please, provide your course title:";NA;"About you";"About you";"0. Background information";NA;NA;NA;NA;"Example: ""TtT 2.1: Shaping Open Science Champions: a train-the-trainers course for educators of Phd candidate""";"text";FALSE
"3";"P03";NA;NA;"Your current role:";NA;"About you";"About you";"0. Background information";NA;NA;NA;NA;"Select your role;High education teacher;Researcher;Data Steward;Librarian;Policymaker;Civil Servant;Legal Expert;Other";"select";FALSE
"4";"P04";"P03";"Other";"Your current role:";NA;"About you";"About you";"0. Background information";NA;NA;NA;NA;"Please, specify your current role";"text";FALSE
"5";"P05";NA;NA;"Your institution:";NA;"About you";"About you";"0. Background information";NA;NA;NA;NA;"Select your institution;Other;Consortium GARR (GARR);Consiglio Nazionale delle Ricerche (CNR);Istituto Nazionale di Fisica Nucleare (INFN);Università degli Studi di Torino (UNITO);Politecnico di Torino (POLITO);Fondazione Istituto Italiano di Tecnologia (IIT);Università degli Studi di Milano-Bicocca (UNIMIB);Università degli Studi di Trento (UNITN);Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici (CMCC);Technische Universiteit Delft (TU-Delft);Centre National de la Recherche Scientifique CNRS (CNRS);12 CSC-Tieteen Tietotekniikan Keskus Oy (CSC-IT) Finland;Danmarks Tekniske Universitet (DTU);Copenhagen Business School (CBS);Aalborg Universitet (AAU);Det Kongelige Bibliotek Nationalbibliotek,Nationalbibliotek og Kobenhavns Universitetbibliotek (DKB);Syddansk Universitet (SDU);Aarhus Universitet (AU);European Plate Observing System - European Research Infrastructure Consortium (EPOS);Istututo Nazionale di Geofisica e Vulcanologia (INGV);Universitet I Bergen (UiB);National Infrastructures for Research and Technology (GRNET);Institute of Information and Communication Technologies (IICT);Institut Za Fiziku (IPB);Ss. Cyril and Methodius University in Skopje (UKIM);ETaireia Eleytheroy Logismikoy AnoiktoyKodika (GFOSS);Karslsruher Institut fuer Technologie (KIT);Katholeike Universiteit Leuven (KUL);Naturhistorisches Museum Wien (NHMW);Open Access in the European Area through Scholarly Communication (OPERAS);Instytut Chemii Bioorganicznej Polskiej Akademii Nauk (PSNC);32 Tampereen Korkeakoulusaatio Sr (TAU) Finland;Technische Universitaet Wien (TU-Wien);The University Of Edinburgh (UEDIN);Goeteborgs Universitet (UGOT);Chalmers Tekniska Hoegskola Ab (Chalmers);Karolinska Institutet (KI);Umea Universitet (UMU);Tartu Ulikool (UT);Tallinna Tehnikaulikool (TalTech);Universite D'Aix Marseille (AMU);Universidad Carlos III de Madrid (UC3M);Norwegian Directorate For Higher Education And Skills (HK-Dir);Uninett Sigma2 As (SIGMA2)";"select";FALSE
"6";"P06";"P05";"Other";"Your institution:";NA;"About you";"About you";"0. Background information";NA;NA;NA;NA;"Please, specify your current institution";"text";FALSE
"7";"P07";NA;NA;"Your field of expertise:";NA;"About you";"About you";"0. Background information";NA;NA;NA;NA;"Select your field;Natural Sciences;Engineering and technology;Medical and Health Sciences;Agricultural;Social Sciences;Humanities;Other";"select";FALSE
"8";"P08";"P07";"Other";"Your field of expertise:";NA;"About you";"About you";"0. Background information";NA;NA;NA;NA;"Your field of expertise";"text";FALSE
"9";"P09";NA;NA;"How familiar are you with the implementation of Quality Assurance processes in learning materials?";NA;"About you";"About you";"0. Background information";NA;NA;NA;NA;"Not familiar at all;Not very familiar;Somewhat familiar;Familiar;Very familiar";"textSlider";FALSE
"10";"G01";NA;NA;"Does the title of the resource clearly describe what it offers?";"essential";"Title";"Metadata & publication";"1. Content & Structure";"minimal";"Following the ""Title"" element of the Research Data Alliance (RDA) Minimal Metadata for Learning Resources Schema, include the human-readable name of the resource. Make the title appealing and explain why people should use the learning material.";NA;NA;"Yes;No";"mc";FALSE
